"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"KJ DUFF","RUTGERS",124,62,2,100,"A+"
"MALACHI TONEY","MIAMI FL",102,51,2,96.83,"A+"
"REED HARRIS","ARIZONA ST",78,39,2,96.76,"A+"
"JEREMIAH SMITH","OHIO STATE",72,36,2,91.47,"A"
"COLLIN DIXON","ILLINOIS",88,44,2,89.9,"A"
"CHARLIE BECKER","INDIANA",84,42,2,84.27,"A-"
"NIK MCMILLAN","KANSAS",56,28,2,81.9,"A-"
"DONOVAN OLUGBODE","MISSOURI",60,30,2,81.54,"A-"
"UMARI HATCHER","SYRACUSE",96,48,2,77.75,"B+"
"NA'EEM ABDUL-RAHIM GLADDING","MARYLAND",100,50,2,77.65,"B+"
"LAWAYNE MCCOY","LOUISVILLE",130,65,2,77.56,"B+"
"CARLOS HERNANDEZ","WAKE",56,28,2,74.95,"B+"
"KOBY HOWARD","PENN STATE",56,28,2,74.66,"B+"
"ANTHONY EVANS III","MISS STATE",84,42,2,74.57,"B+"
"YANNICK SMITH","SMU",110,55,2,74.4,"B+"
"GAVIN FREEMAN","BAYLOR",202,101,2,73.99,"B+"
"SOMOURIAN WINGO","MIAMI FL",15,15,1,73.9,"B+"
"CAYDEN LEE","MISSOURI",60,30,2,73.8,"B+"
"DEUCE ALEXANDER","OLE MISS",128,64,2,72.46,"B"
"VERNELL BROWN III","FLORIDA",80,40,2,72.43,"B"
"JOSEPH WILLIAMS","COLORADO",140,70,2,70.01,"B"
"JV GIBSON","CINCINNATI",78,39,2,68.89,"B"
"WYATT YOUNG","OKLA STATE",88,44,2,68.82,"B"
"TRENT MOSLEY","USC",70,35,2,68.78,"B"
"JJ BUCHANAN","MICHIGAN",96,48,2,68.71,"B"
"QUE'SEAN BROWN","VA TECH",32,16,2,68.63,"B"
"TRE RICHARDSON","LOUISVILLE",120,60,2,68.33,"B"
"JACORY BARNEY JR.","NEBRASKA",124,62,2,67.76,"B"
"CADEN HIGH","STANFORD",23,23,1,67.39,"B"
"VANDREVIUS JACOBS","MIAMI FL",15,15,1,67.02,"B"
"COOPER BARKATE","MIAMI FL",45,45,1,66.94,"B"
"DALLAS WILSON","FLORIDA",76,38,2,66.26,"B-"
"TONY DIAZ","IOWA",92,46,2,66.03,"B-"
"CAM COLEMAN","TEXAS",98,49,2,65.96,"B-"
"MALACHI COLEMAN","WISCONSIN",40,40,1,65.9,"B-"
"ISAIAH HORTON","TEXAS A&M",114,57,2,65.8,"B-"
"OMARI HAYES","IOWA STATE",15,15,1,65.55,"B-"
"ASAAD WASEEM","PURDUE",54,27,2,65.33,"B-"
"JOSH MANNING","KANSAS ST",90,45,2,64.31,"B-"
"JALEN HALE","SMU",68,34,2,64.15,"B-"
"SHAUN TERRY II","MISSOURI",37,37,1,63.99,"B-"
"DAKORIEN MOORE","OREGON",108,54,2,63.83,"B-"
