"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","row_id"
"Lesroy Tittle","CHISTA",17,100,"A","ED",2026,"IND (FCS)",97.3,82.4,90.1,92.7,1,0,3,1,0,1,2,4,0,0,1,0,0,2,0,1,1,3,0,7,"28.60%","57.10%",35.7,6,-1.5,"0","33.30%",0,4,0,"0.00%",0,0,0,0,1,0,0,0,0,"75.00%",0,0,0,0,1,"0.00%","0.00%","0.00%","100%",0,6,"0.00%",22,3,"0.00%",0,2,2,"0.00%",2,0,0,1,0,"0.00%",3,3,0,0,0,"FCS",294,NA,294
"Paul-Marie Dogui","COLGATE",49,92.43,"A","ED",2026,"Patriot",88.2,67.6,92.6,63.2,0,1,4,1,0,1,0,2,1,0,0,1,0,2,0,0,0,4,2,16,"18.80%","12.50%",9.4,27,0.67,"7.40%","11.10%",2,6,0,"0.00%",0,0,0,0,0,0,0,0,0,"33.30%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",34,5,"0.00%",1,3,2,"0.00%",3,0,0,1,0,"0.00%",5,5,1,0,0,"FCS",180,NA,180
"Malcolm Jefferies","DELWARE ST",48,89.55,"A","ED",2026,"MEAC",69.3,60.9,74.8,NA,0,1,6,1,0,0,0,1,1,0,0,1,0,4,0,1,0,7,4,21,"4.80%","4.80%",4.8,27,1,"14.80%","22.20%",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,"10.00%",1,5,4,"11.10%",7,1,1,1,0,"0.00%",10,10,0,0,0,"FCS",27,NA,27
"Carmilo Allen","CENT ARK",31,86.34,"A","ED",2026,"United Athletic",68.7,65.2,68.5,59.4,0,1,4,1,0,2,0,3,2,0,0,0,0,2,0,1,2,2,3,23,"8.70%","13.00%",8.7,8,1.67,"25.00%","37.50%",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,6,"14.30%",1,2,2,"0.00%",3,1,0,2,0,"33.30%",7,7,0,1,1,"FCS",131,NA,131
"Brody Thornton","N DAKOTA",42,82.41,"A","ED",2026,"Missouri Valley",76.9,69.5,65.6,76.4,0,4,3,1,0,2,0,3,0,1,0,1,0,2,0,0,2,7,2,12,"8.30%","25.00%",16.7,17,-2,"5.90%","17.60%",1,13,0,"0.00%",0,0,0,0,0,0,0,0,0,"23.10%",0,0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",22,7,"22.20%",4,2,2,"16.70%",2,3,1,1,0,"33.30%",9,9,1,0,1,"FCS",255,NA,255
"Khalid Bueno","STNY BROOK",57,81.79,"A","ED",2026,"CAA",80.3,76.2,80.2,62.6,0,3,3,2,0,1,2,5,1,0,0,0,0,1,0,1,1,4,3,33,"12.10%","15.20%",10.6,21,-3,"4.80%","4.80%",1,3,0,"0.00%",0,0,0,0,0,0,0,0,0,"33.30%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",11,6,"14.30%",3,1,1,"0.00%",1,2,0,2,0,"25.00%",7,7,1,0,1,"FCS",207,NA,207
"Dillon Pardue","ELON",50,71.86,"B","ED",2026,"CAA",74.7,67.7,73.1,60.7,0,0,5,1,0,1,2,4,2,0,0,0,0,0,0,1,1,6,1,22,"18.20%","18.20%",11.4,27,2.33,"3.70%","14.80%",1,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",42,6,"0.00%",0,3,0,"0.00%",3,0,0,2,0,"0.00%",6,6,0,2,0,"FCS",19,NA,19
"Khalid Moore","SE LA",36,70.45,"B","ED",2026,"Southland",68.6,59.5,81.1,52.5,0,0,0,0,0,2,1,3,4,0,0,0,0,0,0,0,0,1,2,20,"35.00%","15.00%",7.5,15,5,"6.70%","13.30%",1,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",45,1,"50.00%",0,0,0,"0.00%",1,0,0,0,0,"100%",2,2,0,0,1,"FCS",34,NA,34
"Joshua Stoneking","FURMAN",75,70.33,"B","ED",2026,"Southern",63.8,72.8,56.3,55.4,0,0,6,0,0,1,4,5,0,0,0,0,0,3,0,1,3,5,1,41,"2.40%","12.20%",6.1,34,2.14,"0","5.90%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,8,"11.10%",0,5,3,"0.00%",7,0,0,1,0,"50.00%",9,9,0,1,1,"FCS",74,NA,74
"Myles Hamilton","SACR HEART",28,70.1,"B","ED",2026,"CAA",81.6,78.5,61.1,73.2,0,1,4,0,0,1,1,2,0,0,0,0,0,3,0,0,1,6,1,12,"8.30%","16.70%",8.3,14,1,"7.10%","35.70%",1,2,1,"100%",6,6,0,0,0,0,91.7,3,0,"100%",0,1,0,0,1,"0.00%","100%","0.00%","0.00%",6,0,"0.00%",11,6,"14.30%",1,3,3,"20.00%",4,0,1,1,0,"0.00%",7,7,1,1,0,"FCS",125,NA,125
"Tyler King","MONTANA",44,69.48,"B","ED",2026,"Big Sky",68,47.9,78.5,61.4,0,2,1,0,0,0,2,2,6,0,0,0,0,0,0,0,0,2,4,28,"28.60%","7.10%",3.6,15,3,"20.00%","6.70%",3,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",90,3,"25.00%",2,1,0,"50.00%",1,0,1,0,0,"0.00%",4,4,2,0,0,"FCS",106,NA,106
