"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"Hudson Page","ABILENE CH",58,100,"A","DI",2026,"United Athletic",90.2,70.7,91.4,NA,1,5,4,1,0,0,2,3,1,0,0,1,0,1,0,1,0,3,2,30,"10.00%","10.00%",6.7,28,1.67,"7.10%","14.30%",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,9,"0.00%",5,3,1,"0.00%",3,5,0,1,0,"0.00%",9,9,0,0,0,"FCS",398,398
"Rodney Mills","LIUSHAR",48,78.61,"B","DI",2026,"Northeast",72.8,72.3,72.6,NA,0,1,3,2,0,1,1,4,0,0,0,0,0,0,0,0,1,2,1,26,"11.50%","15.40%",11.5,22,4,"0","9.10%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4,"0.00%",1,1,0,"0.00%",1,1,0,2,0,"0.00%",4,4,0,0,0,"FCS",223,223
"Quoy Rainey","DELWARE ST",42,76.72,"B","DI",2026,"MEAC",79.9,88.5,54.6,NA,0,1,3,0,0,0,5,5,1,0,0,0,1,3,0,0,2,6,4,19,"21.10%","26.30%",13.2,23,0.75,"4.30%","43.50%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,5,"37.50%",1,3,3,"0.00%",4,0,0,0,0,"75.00%",8,8,1,0,3,"FCS",327,327
"Marquise Brunson","DELWARE ST",26,76.19,"B","DI",2026,"MEAC",69.6,63.6,73.1,NA,0,1,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0,4,2,7,"0","28.60%",28.6,19,3,"10.50%","10.50%",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,5,"0.00%",1,1,0,"0.00%",2,1,0,1,0,"0.00%",5,5,0,0,0,"FCS",113,113
"Ka Von Chisolm","SCAR STATE",26,75.67,"B","DI",2026,"MEAC",74,66.7,70.2,NA,0,0,2,2,0,0,4,6,0,0,0,0,1,0,0,2,2,2,0,20,"10.00%","30.00%",20,6,0,"0","16.70%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"0.00%",0,0,0,"0.00%",0,0,0,2,0,"0.00%",2,2,0,0,0,"FCS",248,248
"Marquacious Wright","LIUSHAR",37,74.74,"B","DI",2026,"Northeast",82.6,70.2,81.3,60,1,2,1,0,0,2,2,4,2,0,0,0,0,0,0,1,1,1,0,21,"19.10%","19.10%",9.5,16,0,"0","6.30%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,3,"0.00%",2,0,0,"0.00%",0,2,0,1,0,"0.00%",3,3,0,1,0,"FCS",405,405
"Khalib Robinson","CHISTA",38,74.45,"B","DI",2026,"IND (FCS)",82.1,66.7,65.4,67.6,0,0,4,1,0,0,3,4,1,0,0,2,0,3,0,2,0,4,2,28,"10.70%","14.30%",8.9,10,-1,"20.00%","50.00%",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,4,"20.00%",0,3,3,"25.00%",3,0,1,0,0,"0.00%",5,5,0,0,0,"FCS",138,138
"Cameron Daniels","MURRAY ST",30,73.8,"B","DI",2026,"Missouri Valley",83.5,71.3,81.8,NA,0,0,3,0,0,2,3,5,0,0,0,0,0,2,0,1,0,3,1,19,"21.10%","26.30%",13.2,11,-0.67,"9.10%","27.30%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,3,"0.00%",0,3,2,"0.00%",3,0,0,0,0,"0.00%",3,3,0,0,0,"FCS",298,298
"Chris Campanelli","NEW HAMP",34,72.95,"B","DI",2026,"CAA",76,71.4,70.2,60,0,0,3,2,0,0,3,5,0,0,0,0,0,0,0,2,0,1,0,26,"11.50%","19.20%",13.5,7,1,"0","14.30%",0,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",66,3,"0.00%",0,1,0,"0.00%",1,0,0,2,0,"0.00%",3,3,0,0,0,"FCS",299,299
"Trevion Traylor","CENT ARK",40,72.68,"B","DI",2026,"United Athletic",84.1,69.1,83.1,NA,0,1,2,1,0,1,2,4,1,0,0,0,0,1,0,0,0,2,0,29,"17.20%","13.80%",8.6,11,-4,"0","9.10%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3,"0.00%",1,1,1,"0.00%",1,1,0,1,0,"0.00%",3,3,0,0,0,"FCS",263,263
