"Name","Team","Season","Position","Conference","Conference_Level","Offensive.Snaps","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Composite_Score","Player_Grade"
"Jack O'Connell","STHLSK",2026,"QB","Northeast","FCS",82,82.4,56,45,27,"60.00%","65.10%",380,8.4,"56.30%",4,0,5,2.89,0,2,0,"0.00%",4,"8.90%",1,116.9,9.3,"53.30%","42.20%","46.30%",22,"17.90%",0,"0","0","0","0","0",70.4,80,7.3,0,5,0,0,1,5.8,1.2,6,"45.50%",0.09,3,"20.00%",100,"A"
"Beau Brungard","YNGTOWN ST",2026,"QB","Missouri Valley","FCS",49,76.8,29,25,20,"80.00%","91.30%",290,11.6,"51.00%",6,0,0,2.76,0,0,0,"0.00%",0,"0.00%",1,154.6,10.3,"48.00%","44.00%","53.40%",19,"34.50%",0,"0","0","0","0","0",73.4,111,7.9,2,7,0,0,3,0.7,6.6,4,"50.00%",0.21,3,"0.00%",92.06,"A"
"Jaxon Dailey","N IOWA",2026,"QB","Missouri Valley","FCS",66,85.3,29,27,16,"59.30%","63.00%",242,9,"36.40%",3,0,2,2.39,0,0,1,"3.50%",5,"18.50%",1,125.8,13.4,"22.20%","77.80%","68.20%",16,"31.00%",0,"0","0","0","0","0",59.6,2,2,0,0,0,0,0,1,1,0,"0.00%",0,0,"0.00%",89.2,"A"
"DJ Williams","S ILLINOIS",2026,"QB","Missouri Valley","FCS",70,69.7,36,32,18,"56.30%","66.70%",361,11.3,"33.80%",1,1,0,2.88,0,3,1,"2.80%",5,"15.60%",2,93.4,17.3,"37.50%","56.30%","66.80%",13,"27.80%",0,"0","0","0","0","0",71.5,66,8.3,4,5,0,0,0,4.8,1.5,2,"62.50%",0,3,"0.00%",88.05,"A"
"Kyle Lowe","SE LA",2026,"QB","Southland","FCS",64,75.2,30,29,14,"48.30%","59.30%",253,8.7,"91.70%",3,0,0,2.34,2,2,0,"0.00%",4,"13.80%",2,113.1,9.6,"44.80%","48.30%","11.10%",10,"6.70%",0,"0","0","0","0","0",80.7,70,5,0,5,0,0,1,1.2,3.8,1,"35.70%",0.07,2,"0.00%",86.11,"A"
"Chase Mason","S DAK ST",2026,"QB","Missouri Valley","FCS",49,90.2,21,19,13,"68.40%","68.40%",267,14.1,"22.90%",3,0,1,2.45,0,2,0,"0.00%",2,"10.50%",0,150.8,13.5,"36.80%","63.20%","77.10%",12,"38.10%",0,"0","0","0","0","0",71.1,21,7,1,2,0,0,0,0.3,1,1,"66.70%",0,1,"0.00%",85.94,"A"
"Destin Wade","N ALABAMA",2026,"QB","United Athletic","FCS",66,76.5,43,34,19,"55.90%","63.30%",265,7.8,"22.30%",1,1,1,2.92,1,4,2,"4.70%",5,"14.70%",0,78.7,14.7,"29.40%","58.80%","78.50%",13,"25.60%",0,"0","0","0","0","0",59.2,75,5,0,1,1,0,2,0.8,3.3,8,"6.70%",0.13,1,"14.30%",82.23,"A"
"Aidan Jakobsohn","TXRG",2026,"QB","Southland","FCS",36,79.6,26,19,7,"36.80%","52.60%",137,7.2,"5.80%",2,0,3,3.87,0,3,1,"3.90%",4,"21.10%",3,97.9,18.4,"15.80%","84.20%","99.30%",9,"11.50%",0,"0","0","0","0","0",63.1,32,6.4,0,2,0,0,1,2.6,2.8,4,"40.00%",0.2,2,"0.00%",77.11,"B"
"Jerry Kaminski","N DAKOTA",2026,"QB","Missouri Valley","FCS",57,75.2,35,29,21,"72.40%","75.90%",313,10.8,"53.00%",3,1,1,2.99,0,1,1,"2.90%",2,"6.90%",1,127.5,10.1,"51.70%","48.30%","50.20%",15,"42.90%",0,"0","0","0","0","0",58.6,69,8.6,0,2,0,0,0,1.5,1.9,5,"25.00%",0,2,"0.00%",72.82,"B"
"Chris Parson","AUSTINPEAY",2026,"QB","United Athletic","FCS",27,85.8,16,15,12,"80.00%","80.00%",260,17.3,"70.80%",3,0,1,2.49,0,1,0,"0.00%",0,"0.00%",0,158.3,13.7,"40.00%","60.00%","31.50%",9,"37.50%",0,"0","0","0","0","0",63,19,19,0,1,0,0,0,15,4,0,"100%",0,1,"0.00%",72.24,"B"
"Jordan Cooke","IDAHO ST",2026,"QB","Big Sky","FCS",47,74.8,29,27,15,"55.60%","65.40%",331,12.3,"48.60%",3,0,2,2.95,0,1,0,"0.00%",2,"7.40%",2,136.5,14,"40.70%","55.60%","51.40%",9,"10.30%",0,"0","0","0","0","0",65.2,4,1.3,0,2,0,0,0,0,1.3,0,"66.70%",0,0,"33.30%",70.99,"B"
"Joshua Wood","IDAHO",2026,"QB","Big Sky","FCS",78,69.9,58,41,19,"46.30%","63.60%",241,5.9,"50.60%",0,0,5,3.68,3,5,0,"0.00%",4,"9.80%",2,65.2,12.8,"31.70%","48.80%","49.40%",15,"19.00%",0,"0","0","0","0","0",71.8,77,5.5,1,4,0,0,5,1.3,2.2,9,"28.60%",0.36,2,"0.00%",69.56,"B"
"Ashton Pannell","CHISTA",2026,"QB","IND (FCS)","FCS",49,85.6,26,26,23,"88.50%","96.00%",317,12.2,"58.70%",3,0,0,2.35,1,0,0,"0.00%",1,"3.90%",1,155.9,5.9,"53.80%","42.30%","41.30%",14,"23.10%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.24,"B"
"Brooks Bentley","NEW HAMP",2026,"QB","CAA","FCS",55,82,27,23,13,"56.50%","65.20%",192,8.3,"37.50%",1,0,2,2.9,0,2,1,"3.70%",3,"13.00%",2,98.5,10.3,"34.80%","65.20%","66.10%",13,"37.00%",0,"0","0","0","0","0",64.2,14,7,0,1,0,0,1,2,5,2,"50.00%",0.5,1,"0.00%",68.93,"B"
