"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"DREW MESTEMAKER","OKLA STATE",42,100,"A",2026,"QB","Big 12","P4",92.8,24,23,21,"91.30%","91.30%",333,14.5,"41.10%",5,0,1,2.69,0,1,1,"4.20%",3,"13.00%",0,158.3,9.3,"39.10%","60.90%","61.60%",16,"54.20%",23,"13.00%","34.80%","8.70%","0","56.50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
"JARON-KEAWE SAGAPOLUTELE","CAL",55,97.23,"A",2026,"QB","ACC","P4",75.3,37,36,28,"77.80%","80.00%",480,13.3,"73.10%",3,0,0,2.37,0,2,0,"0.00%",0,"0.00%",0,146.5,8.4,"55.60%","41.70%","27.90%",17,"18.90%",35,"5.70%","11.40%","17.10%","5.70%","71.40%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
"NOAH FIFITA","ARIZONA",56,91.81,"A",2026,"QB","Big 12","P4",90,39,33,30,"90.90%","90.90%",326,9.9,"41.40%",4,0,4,2.94,0,0,0,"0.00%",3,"9.10%",0,147.4,8.3,"51.50%","48.50%","62.00%",17,"33.30%",0,"0","0","0","0","0",67.3,32,10.7,1,2,0,0,2,-3.3,13,2,"66.70%",0.67,1,"0.00%",15
"DEMOND WILLIAMS JR.","WASHINGTON",56,89,"A",2026,"QB","Big Ten","P4",81.9,38,33,27,"81.80%","87.10%",373,11.3,"71.30%",4,1,1,2.61,0,0,0,"0.00%",1,"3.00%",0,140.7,5.7,"51.50%","42.40%","32.70%",20,"26.30%",0,"0","0","0","0","0",63.4,41,6.8,0,2,0,0,2,1.7,1.8,4,"33.30%",0.33,1,"0.00%",48
"DANTE MOORE","OREGON",45,86.39,"A",2026,"QB","Big Ten","P4",89,25,23,18,"78.30%","85.70%",283,12.3,"53.70%",4,0,1,2.36,1,0,0,"0.00%",2,"8.70%",0,157.5,10.7,"47.80%","43.50%","48.40%",16,"48.00%",21,"9.50%","19.10%","9.50%","14.30%","71.40%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"KEELON RUSSELL","ALABAMA",68,84.47,"A",2026,"QB","SEC","P4",90.1,34,32,23,"71.90%","82.10%",320,10,"45.60%",3,0,1,3.03,1,2,0,"0.00%",2,"6.30%",0,134.9,9.5,"40.60%","46.90%","55.60%",15,"26.50%",0,"0","0","0","0","0",66.6,62,12.4,1,2,0,0,1,10.4,0,1,"40.00%",0.2,2,"0.00%",59
"MICHAEL HAWKINS JR.","W VIRGINIA",72,82.33,"A",2026,"QB","Big 12","P4",92.2,26,19,11,"57.90%","66.70%",227,11.9,"30.80%",2,0,1,3.13,0,0,0,"0.00%",5,"26.30%",1,135.2,16.3,"36.80%","57.90%","71.40%",11,"38.50%",0,"0","0","0","0","0",81.8,126,7,3,8,0,0,5,1.1,3.6,6,"44.40%",0.28,5,"0.00%",52
"KENNY MINCHEY","KENTUCKY",55,78.53,"B",2026,"QB","SEC","P4",90.8,23,18,14,"77.80%","94.10%",252,14,"61.10%",2,0,2,2.78,0,1,0,"0.00%",2,"11.10%",2,155.8,7.9,"50.00%","44.40%","38.90%",10,"65.20%",17,"23.50%","5.90%","5.90%","5.90%","88.20%",55,6,0.9,0,1,0,0,2,0,0.4,3,"14.30%",0.29,0,"0.00%",23
"NATE BENNETT","BAYLOR",75,78.07,"B",2026,"QB","Big 12","P4",92.3,32,26,20,"76.90%","80.00%",253,9.7,"39.50%",3,0,3,2.83,0,0,0,"0.00%",4,"15.40%",0,145.2,10.6,"50.00%","46.20%","60.50%",12,"15.60%",0,"0","0","0","0","0",58.4,28,9.3,1,1,0,0,2,-0.7,9.3,3,"33.30%",0.67,1,"0.00%",55
"JADEN CRAIG","TCU",68,75.59,"B",2026,"QB","Big 12","P4",73.5,34,29,21,"72.40%","75.00%",337,11.6,"49.90%",3,1,2,3.07,0,0,1,"2.90%",3,"10.30%",0,131,11.9,"44.80%","51.70%","54.30%",13,"26.50%",0,"0","0","0","0","0",59.5,23,4.6,0,2,0,0,1,-0.4,4.8,3,"40.00%",0.2,1,"0.00%",16
