"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"Ka Von Chisolm","SCAR STATE",51,100,"A","DI",2026,"MEAC",88.9,90.2,79.4,NA,1,1,4,2,0,2,3,7,2,0,0,0,0,2,0,2,0,5,2,33,"21.20%","21.20%",13.6,18,-1.33,"11.10%","50.00%",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,"0.00%",1,3,2,"0.00%",3,1,0,1,0,"0.00%",6,6,0,0,0,"FCS",281,281
"John Starman","S DAKOTA",50,74.88,"B","DI",2026,"Missouri Valley",76.5,71.2,72.5,NA,0,0,5,2,0,0,1,3,1,0,0,0,0,2,0,1,0,5,1,29,"10.30%","10.30%",8.6,21,0.25,"4.80%","19.10%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,6,"0.00%",0,4,2,"0.00%",4,0,0,1,0,"0.00%",6,6,0,0,0,"FCS",43,43
"Asher Wilson","ROB MORRIS",56,68.09,"B","DI",2026,"Northeast",87.3,70.7,88,NA,0,1,2,1,0,1,4,6,1,0,0,0,0,0,0,1,1,4,0,36,"13.90%","16.70%",9.7,20,4,"0","10.00%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,"0.00%",1,1,0,"0.00%",1,1,0,1,0,"0.00%",3,3,0,0,0,"FCS",358,358
"Lowote Jurkin","STF AUSTIN",28,67.54,"B","DI",2026,"Southland",91.5,65.5,93.8,56.7,1,0,1,1,0,2,4,7,2,0,0,0,0,0,0,0,1,2,2,18,"44.40%","38.90%",22.2,10,0,"0","10.00%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"50.00%",0,0,0,"0.00%",0,0,0,1,0,"50.00%",2,2,0,0,1,"FCS",263,263
"Joshua Barker","SCAR STATE",46,67.43,"B","DI",2026,"MEAC",80.4,75.4,73.7,NA,0,0,3,2,0,0,1,3,2,0,0,0,0,0,0,1,1,4,0,30,"10.00%","10.00%",8.3,16,4,"0","25.00%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"0.00%",0,1,0,"0.00%",1,0,0,2,0,"0.00%",3,3,0,0,0,"FCS",280,280
"Quoy Rainey","DELWARE ST",36,66.89,"B","DI",2026,"MEAC",72,67.6,70.2,NA,0,1,3,1,0,1,1,3,0,0,0,0,0,2,0,1,0,3,1,13,"15.40%","23.10%",15.4,23,1.67,"4.30%","13.00%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,5,"0.00%",1,2,2,"0.00%",3,1,0,1,0,"0.00%",5,5,0,0,0,"FCS",374,374
"Malik Gucake","PRVIEW A&M",40,64.94,"B","DI",2026,"SWAC",74.7,73.2,67.3,60.1,0,1,5,1,0,2,4,7,0,0,0,0,0,0,0,3,0,3,1,22,"18.20%","31.80%",18.2,17,3,"0","17.60%",0,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",6,5,"16.70%",1,3,0,"0.00%",3,1,0,1,0,"50.00%",6,6,0,0,1,"FCS",218,218
"Kehinde Akintunde","MERCER",19,62.96,"B","DI",2026,"Southern",86.2,81.1,72.1,NA,0,1,2,1,0,0,2,3,0,0,0,0,0,1,0,1,0,2,0,13,"15.40%","23.10%",15.4,6,0,"0","50.00%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,3,"0.00%",1,1,1,"0.00%",1,1,0,1,0,"0.00%",3,3,0,0,0,"FCS",413,413
"Brock Winsett","COLGATE",25,61.27,"B","DI",2026,"Patriot",80.7,81.1,67.9,NA,0,1,2,0,0,2,1,3,2,0,0,0,0,2,0,0,1,2,0,18,"22.20%","16.70%",8.3,7,-1.5,"0","42.90%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,3,"0.00%",1,2,2,"0.00%",2,1,0,0,0,"0.00%",3,3,0,0,0,"FCS",91,91
"Malik Brown","TENN MARTN",52,60.64,"B","DI",2026,"Big South - OVC Football Association",74,79.1,71.6,66.4,0,2,3,0,0,1,2,3,1,0,0,0,0,1,0,0,0,2,2,20,"20.00%","15.00%",7.5,15,1.5,"13.30%","40.00%",2,16,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"43.80%",0,0,1,0,0,"0.00%","0.00%","0.00%","0.00%",0,6,"0.00%",43,5,"0.00%",2,2,1,"0.00%",2,1,0,1,0,"0.00%",5,5,1,1,0,"FCS",408,408
"Amir Dwight","S ILLINOIS",46,59.41,"C","DI",2026,"Missouri Valley",82,77.5,73.9,60,0,2,1,1,0,0,2,3,2,0,0,0,0,0,0,0,0,1,1,30,"16.70%","10.00%",6.7,16,1,"6.30%","31.30%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,4,"0.00%",2,1,0,"0.00%",1,1,0,0,0,"0.00%",4,4,1,0,0,"FCS",79,79
"Manaalii Danielson","CAL POLY",56,58.96,"C","DI",2026,"Big Sky",80.4,79.1,78.4,NA,0,1,4,0,0,0,3,3,2,0,0,0,0,1,0,1,0,6,3,26,"15.40%","7.70%",3.9,30,1.25,"10.00%","30.00%",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,"0.00%",1,3,0,"0.00%",3,1,0,1,1,"0.00%",5,5,0,1,0,"FCS",293,293
"Alexandre Dedieu","LAMAR",15,58.74,"C","DI",2026,"Southland",85.2,74.9,76.9,NA,0,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,7,"14.30%","14.30%",14.3,8,0,"0","37.50%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,"0.00%",1,1,1,"0.00%",1,1,0,1,0,"0.00%",3,3,0,0,0,"FCS",257,257
"DeMarcus Wynn","PRVIEW A&M",20,58.47,"C","DI",2026,"SWAC",80.9,63.8,86.6,60,0,1,2,1,0,0,0,1,1,0,0,1,1,0,0,0,0,2,1,8,"25.00%","12.50%",12.5,12,2,"8.30%","8.30%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,4,"0.00%",1,1,0,"0.00%",2,1,0,1,0,"0.00%",4,4,0,0,0,"FCS",279,279
"Julian Fernandez","UC DAVIS",34,58.42,"C","DI",2026,"Big Sky",80.1,75.4,72.7,NA,0,1,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,1,19,"10.50%","0.00%",0,15,1,"6.70%","33.30%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,5,"0.00%",1,4,2,"0.00%",4,1,0,0,0,"0.00%",5,5,0,0,0,"FCS",330,330
"Mason Burke","LNDNWD",39,57.34,"C","DI",2026,"Big South - OVC Football Association",69.7,68.1,65.1,NA,1,1,3,1,0,0,1,2,1,0,0,0,0,1,0,1,1,3,1,25,"4.00%","8.00%",6,14,1,"7.10%","21.40%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,"0.00%",1,2,1,"0.00%",2,1,0,1,0,"0.00%",4,4,0,0,0,"FCS",267,267
