"Name","Team","Season","Position","Conference","Conference_Level","Offensive.Snaps","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Composite_Score","Player_Grade"
"David Parsons","MOREHEAD",2026,"QB","Pioneer","FCS",31,92.8,17,15,11,"73.30%","85.70%",301,20.1,"51.50%",5,0,0,2.44,0,1,0,"0.00%",1,"6.70%",1,154.9,13.5,"40.00%","53.30%","48.50%",11,"17.60%",0,"0","0","0","0","0",76.5,36,18,0,2,0,0,1,3,13,2,"100%",0.5,1,"0.00%",100,"A"
"Treynor Cleeland","UC DAVIS",2026,"QB","Big Sky","FCS",62,84.3,36,35,25,"71.40%","74.30%",326,9.3,"35.60%",5,1,0,2.72,0,0,1,"2.80%",4,"11.40%",1,128.1,11.7,"40.00%","60.00%","68.70%",16,"50.00%",0,"0","0","0","0","0",53.7,5,1.7,0,0,0,0,0,0.7,0,1,"0.00%",0,0,"0.00%",96.8,"A"
"Jaylen King","MERCER",2026,"QB","Southern","FCS",31,90,20,18,15,"83.30%","83.30%",273,15.2,"50.50%",4,0,1,2.68,0,1,0,"0.00%",1,"5.60%",0,158.3,14.2,"33.30%","66.70%","54.20%",12,"35.00%",0,"0","0","0","0","0",75.4,56,8,2,4,0,0,2,0.9,7.1,1,"57.10%",0.29,3,"16.70%",92.38,"A"
"Jake Stearney","COLGATE",2026,"QB","Patriot","FCS",51,84.1,23,21,13,"61.90%","65.00%",278,13.2,"41.70%",4,1,1,2.49,1,2,0,"0.00%",2,"9.50%",0,125.5,11.3,"42.90%","52.40%","58.60%",11,"43.50%",0,"0","0","0","0","0",65.3,40,8,0,2,0,0,0,4,1,1,"40.00%",0,2,"0.00%",84.31,"A"
"Tevin Carter","PRVIEW A&M",2026,"QB","SWAC","FCS",46,82.9,25,24,17,"70.80%","77.30%",244,10.2,"62.30%",4,0,1,2.47,0,1,0,"0.00%",2,"8.30%",0,143.1,8.3,"41.70%","50.00%","39.30%",8,"56.00%",0,"0","0","0","0","0",66.2,38,6.3,1,3,1,0,1,3.5,2.8,0,"50.00%",0.17,2,"0.00%",83.1,"A"
"Nate Dahle","WEBER ST",2026,"QB","Big Sky","FCS",77,69.4,50,46,21,"45.60%","53.30%",282,6.1,"36.50%",2,1,2,2.44,0,9,0,"0.00%",3,"6.50%",3,71.1,13.2,"28.30%","69.60%","63.50%",16,"12.00%",0,"0","0","0","0","0",68.3,88,8.8,0,4,0,0,1,3.6,2.5,2,"40.00%",0.1,3,"12.50%",75.31,"B"
"Carson Haggard","ROB MORRIS",2026,"QB","Northeast","FCS",56,81.6,30,28,13,"46.40%","58.30%",224,8,"52.70%",3,0,0,2.5,2,2,0,"0.00%",2,"7.10%",1,109.8,15.2,"28.60%","57.10%","50.00%",13,"33.30%",0,"0","0","0","0","0",60.7,20,6.7,1,1,0,0,0,6.7,0,1,"33.30%",0,1,"0.00%",74.19,"B"
"Kamden Sixkiller","CAMPBELL",2026,"QB","CAA","FCS",83,78.2,50,45,30,"66.70%","70.50%",355,7.9,"53.50%",2,3,3,2.59,0,4,1,"2.00%",3,"6.70%",1,77.5,9.3,"53.30%","44.40%","46.50%",17,"24.00%",0,"0","0","0","0","0",69.9,27,3.4,1,1,0,0,1,1.9,1.5,2,"12.50%",0.13,0,"0.00%",74.11,"B"
"Devin Lippold","MCNEESE",2026,"QB","Southland","FCS",36,71.5,23,20,15,"75.00%","75.00%",199,9.9,"38.70%",4,0,2,2.49,0,4,1,"4.30%",1,"5.00%",0,145.6,10.7,"50.00%","50.00%","66.80%",9,"26.10%",0,"0","0","0","0","0",57.7,23,7.7,0,1,0,0,1,2.7,5,1,"33.30%",0.33,1,"0.00%",73.52,"B"
"Christian Johnson","SOUTHERN U",2026,"QB","SWAC","FCS",66,90.2,31,29,15,"51.70%","70.40%",200,6.9,"37.00%",2,0,0,2.62,0,2,0,"0.00%",3,"10.30%",4,96.9,13.7,"34.50%","58.60%","65.50%",11,"25.80%",0,"0","0","0","0","0",51.6,10,2.5,0,0,0,0,2,0.8,1.8,2,"0.00%",0.5,0,"0.00%",71.22,"B"
"Hayden Johnson","LEHIGH",2026,"QB","Patriot","FCS",70,92.7,24,20,16,"80.00%","84.20%",271,13.6,"27.70%",2,0,0,3.65,0,0,0,"0.00%",2,"10.00%",0,152.1,14.8,"30.00%","65.00%","76.80%",15,"37.50%",0,"0","0","0","0","0",39.1,21,2.6,0,1,1,1,0,0.5,1.1,4,"12.50%",0,0,"25.00%",70.86,"B"
"Cole Pennington","GARD-WEBB",2026,"QB","Big South - OVC Football Association","FCS",85,75.8,59,55,30,"54.50%","60.80%",377,6.8,"45.90%",0,1,1,2.69,0,6,2,"3.40%",5,"9.10%",1,68.5,9.6,"38.20%","54.50%","58.40%",18,"35.60%",0,"0","0","0","0","0",54.8,1,0.3,0,0,0,0,0,-0.8,1,1,"0.00%",0,0,"0.00%",70.71,"B"
