"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"HAUSS HEJNY","COLO STATE",70,100,"A",2026,"QB","Pac-12","G5",93,35,31,18,"58.10%","72.40%",325,10.5,"54.10%",4,1,1,3.02,1,1,1,"2.90%",5,"16.10%",3,120.3,13.1,"48.40%","45.20%","46.50%",13,"34.30%",0,"0","0","0","0","0",81.3,95,23.8,1,2,0,0,3,9.3,12.5,3,"50.00%",0.75,2,"0.00%",42
"DAVID MCCOMB","MIAMI OH",48,88.74,"A",2026,"QB","MAC","G5",91.8,16,15,14,"93.30%","93.30%",248,16.5,"52.80%",3,0,0,2.15,0,0,0,"0.00%",1,"6.70%",0,158.3,9.1,"53.30%","46.70%","48.80%",12,"18.80%",0,"0","0","0","0","0",66.5,12,4,1,1,0,0,1,3.7,0.3,1,"33.30%",0.33,0,"0.00%",59
"MICHAEL VAN BUREN JR.","USF",56,87.6,"A",2026,"QB","The American","G5",90.1,33,31,19,"61.30%","79.30%",239,7.7,"34.70%",2,0,0,2.45,0,2,0,"0.00%",2,"6.50%",4,106.8,10.8,"38.70%","54.80%","66.10%",14,"27.30%",0,"0","0","0","0","0",71.7,41,5.9,2,3,0,0,3,-0.4,6.3,1,"42.90%",0.43,2,"0.00%",48
"CADEN VELTKAMP","FAU",90,83.44,"A",2026,"QB","The American","G5",90.5,42,37,30,"81.10%","83.30%",417,11.3,"42.40%",5,0,3,2.52,0,2,0,"0.00%",3,"8.10%",0,153.2,10.4,"56.80%","40.50%","61.20%",16,"23.80%",0,"0","0","0","0","0",53.8,1,0.2,0,0,0,0,1,-1.2,0,2,"0.00%",0.2,0,"0.00%",9
"DRU DESHIELDS","KENT STATE",39,78.42,"B",2026,"QB","MAC","G5",77.7,32,28,17,"60.70%","69.20%",256,9.1,"18.00%",1,2,0,2.7,1,2,2,"6.30%",4,"14.30%",1,72.9,11.9,"35.70%","57.10%","88.70%",11,"18.80%",0,"0","0","0","0","0",69.6,73,6.6,2,3,0,0,7,1.9,2.7,4,"27.30%",0.64,3,"14.30%",37
"CIBASTIAN BROUGHTON","AKRON",57,78.2,"B",2026,"QB","MAC","G5",83,37,27,23,"85.20%","85.20%",234,8.7,"56.00%",4,0,3,3.29,0,1,2,"5.40%",2,"7.40%",0,142.4,5.4,"77.80%","22.20%","44.00%",14,"27.00%",0,"0","0","0","0","0",67.2,86,8.6,0,4,0,0,3,5.5,2.5,7,"40.00%",0.3,4,"0.00%",61
"EJ COLSON JR.","UTEP",40,77.5,"B",2026,"QB","MWC","G5",73.1,28,23,14,"60.90%","76.20%",239,10.4,"61.50%",3,0,2,2.94,0,1,1,"3.60%",1,"4.30%",2,135.7,10.4,"52.20%","39.10%","38.50%",11,"50.00%",0,"0","0","0","0","0",72.1,58,5.8,1,4,0,0,2,0.4,5.4,3,"40.00%",0.2,3,"0.00%",54
"JAYDEN MANDAL","FRESNO ST",45,76.69,"B",2026,"QB","Pac-12","G5",85.8,31,29,24,"82.80%","96.20%",319,11,"62.40%",2,0,0,2.44,0,0,0,"0.00%",3,"10.30%",1,135.5,5.8,"55.20%","34.50%","37.60%",15,"16.10%",0,"0","0","0","0","0",60.4,8,2,1,1,0,0,0,0.8,1.3,2,"25.00%",0,0,"0.00%",29
"LUNCH WINFIELD","LA LAFAYET",52,73.94,"B",2026,"QB","Sun Belt","G5",59.8,29,23,16,"69.60%","76.20%",212,9.2,"69.30%",1,0,1,2.8,1,2,2,"6.90%",1,"4.30%",0,113,5.6,"65.20%","26.10%","32.10%",10,"37.90%",0,"0","0","0","0","0",76.2,124,8.3,2,5,0,0,2,3.8,3.2,5,"33.30%",0.13,5,"20.00%",38
"CADEN CREEL","JVILLE ST",58,70.96,"B",2026,"QB","C-USA","G5",78.4,34,28,20,"71.40%","80.00%",321,11.5,"66.40%",1,0,0,2.78,2,0,0,"0.00%",1,"3.60%",0,121.3,6.6,"50.00%","39.30%","33.60%",10,"20.60%",0,"0","0","0","0","0",48.4,117,3.7,1,6,2,1,2,1.6,1.8,6,"18.80%",0.06,2,"3.90%",23
"BRADEN ATKINSON","OREGON ST",78,69.81,"B",2026,"QB","Pac-12","G5",90.2,55,52,31,"59.60%","70.00%",433,8.3,"55.00%",2,1,2,2.79,1,4,1,"1.80%",4,"7.70%",4,91.3,11,"50.00%","46.20%","45.00%",16,"20.00%",43,"18.60%","27.90%","14.00%","20.90%","58.10%",64.4,3,3,0,0,0,0,0,-7,10,1,"0.00%",0,0,"0.00%",65
"TAYVEN JACKSON","N TEXAS",58,68.13,"B",2026,"QB","The American","G5",70.7,33,29,16,"55.20%","66.70%",228,7.9,"40.80%",2,0,1,2.86,1,2,2,"6.10%",1,"3.50%",2,103.8,11.4,"34.50%","58.60%","64.00%",14,"48.50%",0,"0","0","0","0","0",72.8,22,3.7,1,3,0,0,1,0.5,1.7,3,"50.00%",0.17,2,"33.30%",11
"MADDUX MADSEN","BOISE ST",68,67.85,"B",2026,"QB","Pac-12","G5",86.3,31,29,17,"58.60%","64.30%",221,7.6,"55.20%",1,0,0,2.7,0,3,0,"0.00%",1,"3.50%",1,94.2,8.9,"48.30%","48.30%","44.80%",12,"32.30%",0,"0","0","0","0","0",67.6,8,2,1,2,0,0,1,0.5,1.5,2,"50.00%",0.25,0,"0.00%",17
