"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"TAYVEN JACKSON","N TEXAS",89,100,"A",2026,"QB","The American","G5",85.1,59,57,43,"75.40%","83.30%",512,9,"40.80%",3,1,0,2.48,1,4,3,"5.10%",1,"1.80%",2,112.6,7.5,"47.40%","47.40%","60.20%",27,"44.10%",0,"0","0","0","0","0",44.1,14,4.7,0,0,1,1,1,0.3,4.3,2,"0.00%",0.33,0,"0.00%",13
"BRADEN ATKINSON","OREGON ST",44,99.97,"A",2026,"QB","Pac-12","G5",90.2,34,33,23,"69.70%","72.70%",347,10.5,"37.50%",5,0,0,2.52,0,3,0,"0.00%",3,"9.10%",1,143.6,14.8,"48.50%","51.50%","64.50%",17,"35.30%",0,"0","0","0","0","0",71,4,2,1,1,0,0,0,2.5,-0.5,1,"50.00%",0,0,"0.00%",61
"JOHN ALAN RICHTER","TOLEDO",77,98.75,"A",2026,"QB","MAC","G5",80.4,54,54,36,"66.70%","71.70%",460,8.5,"46.70%",4,0,0,2.51,1,4,0,"0.00%",4,"7.40%",2,117.8,10.4,"42.60%","55.60%","54.60%",23,"33.30%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"BRAD JACKSON","TEXAS ST",73,82.45,"A",2026,"QB","Pac-12","G5",91.1,27,23,16,"69.60%","86.40%",268,11.7,"33.20%",4,0,1,2.46,0,1,0,"0.00%",2,"8.70%",3,148.2,11.5,"43.50%","52.20%","67.90%",18,"44.40%",0,"0","0","0","0","0",69.3,38,3.8,0,3,0,0,0,1.3,0.3,3,"30.00%",0,2,"0.00%",43
"LANDYN LOCKE","SM HOUSTON",53,78.27,"B",2026,"QB","C-USA","G5",84.5,33,30,19,"63.30%","70.00%",322,10.7,"46.60%",4,0,0,2.63,0,2,1,"3.00%",4,"13.30%",2,139.2,12.1,"56.70%","43.30%","55.30%",11,"39.40%",29,"17.20%","3.50%","27.60%","3.50%","69.00%",68.5,19,2.7,0,0,0,0,2,-0.1,0.4,3,"0.00%",0.29,1,"0.00%",59
"DAVID MCCOMB","MIAMI OH",58,76.08,"B",2026,"QB","MAC","G5",61.2,37,30,19,"63.30%","75.00%",390,13,"38.70%",1,1,3,3.07,1,0,5,"13.50%",4,"13.30%",2,104.2,14,"43.30%","50.00%","62.30%",14,"10.80%",0,"0","0","0","0","0",49.5,42,7,1,1,1,0,1,2.8,2.7,4,"16.70%",0.17,2,"0.00%",53
"CADEN PINNICK","WASH STATE",68,75.2,"B",2026,"QB","Pac-12","G5",89.6,34,27,20,"74.10%","80.80%",220,8.2,"50.40%",2,1,1,2.99,1,2,1,"2.90%",1,"3.70%",1,107,10.8,"48.10%","48.10%","53.60%",13,"14.70%",7,"0","0","14.30%","0","85.70%",67,94,7.8,1,5,0,0,1,5,2,6,"41.70%",0.08,4,"0.00%",47
"MICHAEL VAN BUREN JR.","USF",53,74.88,"B",2026,"QB","The American","G5",86.8,34,32,23,"71.90%","83.30%",298,9.3,"69.50%",1,0,1,2.87,0,0,0,"0.00%",1,"3.10%",2,111.2,8,"56.30%","37.50%","30.50%",18,"44.10%",0,"0","0","0","0","0",64.2,8,8,0,1,0,0,0,0,0,1,"100%",0,0,"0.00%",45
"MALACHI SINGLETON","APP STATE",78,71.82,"B",2026,"QB","Sun Belt","G5",90.3,45,45,29,"64.40%","74.40%",341,7.6,"29.60%",2,1,0,2.51,0,5,1,"2.20%",2,"4.40%",3,92.9,10.6,"42.20%","48.90%","69.20%",15,"35.60%",0,"0","0","0","0","0",64,8,1,0,1,0,0,1,-1.1,2.1,0,"12.50%",0.13,0,"0.00%",24
"MARCUS STOKES","MEMPHIS",58,71.58,"B",2026,"QB","The American","G5",87.9,36,33,26,"78.80%","90.30%",258,7.8,"38.00%",4,0,2,2.37,1,1,0,"0.00%",1,"3.00%",2,138.8,9.6,"45.50%","48.50%","64.70%",16,"69.40%",0,"0","0","0","0","0",64.6,13,6.5,0,0,0,0,0,3.5,3,1,"0.00%",0,1,"0.00%",38
"SKYLER LOCKLEAR","MO STATE",69,70.87,"B",2026,"QB","C-USA","G5",82.9,35,32,20,"62.50%","71.40%",309,9.7,"46.30%",2,1,0,3.12,2,0,0,"0.00%",3,"9.40%",0,102.2,10.5,"53.10%","34.40%","53.70%",14,"28.60%",0,"0","0","0","0","0",60.5,53,6.6,0,2,0,0,1,4.3,1.4,3,"25.00%",0.13,1,"0.00%",19
"NICK MINICUCCI","DELAWARE",66,70.05,"B",2026,"QB","C-USA","G5",69.1,38,34,26,"76.50%","81.30%",302,8.9,"33.80%",2,0,2,2.57,0,4,1,"2.60%",1,"2.90%",0,122.4,9.4,"47.10%","47.10%","67.90%",18,"26.30%",0,"0","0","0","0","0",73.9,19,3.2,0,1,0,0,0,1.8,1.3,2,"16.70%",0,1,"0.00%",28
"DEUCE BAILEY","COAST CAR",61,66.69,"B",2026,"QB","Sun Belt","G5",64.1,36,26,16,"61.50%","72.00%",246,9.5,"49.20%",2,0,4,3.02,0,3,1,"2.80%",1,"3.90%",2,118.4,13.5,"38.50%","57.70%","50.80%",14,"19.40%",0,"0","0","0","0","0",77.3,71,8.9,0,4,0,0,4,3.8,3,6,"50.00%",0.5,5,"0.00%",55
"JACURRI BROWN","RICE",63,62.21,"B",2026,"QB","The American","G5",92.8,28,19,11,"57.90%","77.80%",121,6.4,"21.50%",1,0,1,3.24,1,0,0,"0.00%",3,"15.80%",3,94.4,11.6,"31.60%","63.20%","78.50%",12,"46.40%",0,"0","0","0","0","0",77.4,132,6,1,8,0,0,4,1.6,3.2,8,"36.40%",0.18,5,"21.40%",8
"AJANI SHEPPARD","TEMPLE",73,61.01,"B",2026,"QB","The American","G5",54,30,25,13,"52.00%","54.20%",167,6.7,"33.50%",3,0,2,2.93,1,1,3,"10.00%",2,"8.00%",0,112.8,13.6,"40.00%","56.00%","68.90%",13,"43.30%",0,"0","0","0","0","0",80.9,138,9.9,1,4,0,0,4,5.5,4.4,3,"28.60%",0.29,2,"0.00%",20
"DESHAWN PURDIE","LIBERTY",44,60.58,"B",2026,"QB","C-USA","G5",72.3,23,20,13,"65.00%","68.40%",211,10.6,"24.20%",3,0,1,2.96,0,0,1,"4.30%",1,"5.00%",0,139.8,16.8,"30.00%","65.00%","80.10%",11,"52.20%",0,"0","0","0","0","0",61.8,31,6.2,0,1,0,0,1,1.6,4.6,2,"20.00%",0.2,1,"0.00%",41
"CAMERAN BROWN","GA STATE",84,60.2,"B",2026,"QB","Sun Belt","G5",68.5,52,49,30,"61.20%","73.30%",282,5.8,"53.20%",2,2,2,2.53,2,4,2,"3.90%",1,"2.00%",3,73.7,7,"53.10%","38.80%","48.60%",19,"21.10%",11,"0","45.50%","0","9.10%","54.50%",61.1,33,3.3,0,2,0,0,3,1,2.2,1,"20.00%",0.3,0,"0.00%",46
"CAMDEN COLEMAN","JAMES MAD",75,58.39,"C",2026,"QB","Sun Belt","G5",62.7,32,28,19,"67.90%","70.40%",223,8,"52.50%",2,0,2,2.17,1,2,0,"0.00%",2,"7.10%",0,115.6,8,"57.10%","39.30%","47.50%",13,"34.40%",0,"0","0","0","0","0",49.7,35,3.2,1,2,1,0,1,1.7,1.4,2,"18.20%",0.09,1,"0.00%",23
"LUNCH WINFIELD","LA LAFAYET",74,56.88,"C",2026,"QB","Sun Belt","G5",76.3,28,22,15,"68.20%","81.00%",118,5.4,"38.10%",0,0,2,2.87,0,0,0,"0.00%",1,"4.50%",2,81.3,6.9,"59.10%","36.40%","61.90%",12,"46.40%",0,"0","0","0","0","0",76.6,99,5.2,2,6,0,0,7,2,2.4,4,"31.60%",0.37,4,"13.30%",35
"CARLOS DEL RIO-WILSON","MARSHALL",75,56.47,"C",2026,"QB","Sun Belt","G5",92.9,28,26,16,"61.50%","64.00%",176,6.8,"41.50%",1,0,0,2.7,1,4,0,"0.00%",3,"11.50%",0,94.4,11.3,"42.30%","53.80%","58.50%",11,"42.90%",0,"0","0","0","0","0",47.9,53,2.5,1,2,2,1,4,0.2,1.9,2,"9.50%",0.19,0,"0.00%",7
"JJ KOHL","FIU",82,55.41,"C",2026,"QB","C-USA","G5",59.7,50,46,22,"47.80%","59.00%",262,5.7,"32.80%",0,3,1,2.74,1,4,4,"8.00%",3,"6.50%",1,38.5,11.4,"39.10%","45.60%","67.20%",16,"40.00%",0,"0","0","0","0","0",61.3,26,4.3,1,2,0,0,1,0.5,3.8,3,"33.30%",0.17,1,"0.00%",30
